transfer_id,u_id,source_wallet_id,dest_wallet_id,send_amount_currency,send_amount_scalar,receive_amount_currency,receive_amount_scalar,kind,dest_mobile,dest_merchant_id,when_created
8,39,84,75,USD,$66437.10,RUB,$16647.20,2,2565894465,64,2019-02-16
50,40,87,98,CNY,"€493224,43",IDR,¥12378.25,1,5115084821,60,2019-06-11
43,42,6,46,MXN,$365615.71,PHP,£26498.97,1,5068425397,30,2018-05-03
52,44,36,31,USD,$258398.86,CNY,$18403.66,1,1894631315,21,2018-11-22
85,46,4,7,THB,¥193494.50,CNY,£24074.87,2,3159262294,100,2016-09-03
64,47,79,37,CUP,¥351490.43,CNY,£21903.77,2,8993819645,43,2019-06-02
82,48,21,80,PLN,£432206.45,JPY,$20393.60,2,2782817477,44,2019-02-11
66,53,85,13,CNY,£343814.88,BRL,¥23308.41,2,5436697410,78,2019-05-08
95,55,64,9,PEN,¥399985.74,IRR,"€18288,28",2,9757421863,37,2016-10-17
98,56,66,51,IDR,$23584.20,EUR,$28846.01,1,7867757570,92,2017-03-17
48,57,84,12,CNY,"€365285,93",PHP,$16463.47,2,4725457086,59,2017-01-11
88,58,20,12,PLN,¥15430.64,CNY,$15547.86,2,4467529705,87,2017-10-21
91,60,100,75,RUB,$490464.66,EUR,$21190.93,1,8948918044,98,2020-02-03
85,62,98,71,CNY,$466778.66,PLN,£24269.79,2,1909209643,10,2017-02-12
79,63,27,49,PLN,¥83093.28,CNY,"€17598,95",2,6104405304,14,2020-01-08
23,64,12,48,TJS,£346089.52,IDR,$14504.64,1,6752173788,22,2019-12-21
71,66,63,97,CNY,$369891.02,EUR,£14754.12,1,9771063189,90,2018-06-27
40,67,67,52,IDR,¥453273.32,CNY,"€24033,36",1,0601705742,19,2018-05-03
21,68,66,94,CNY,¥62841.25,RUB,"€13558,33",1,4643290730,43,2018-04-06
68,69,55,48,IRR,£345055.31,CNY,"€22132,07",2,0403774063,81,2017-06-01
79,71,40,49,SEK,$484234.56,NGN,"€11071,10",2,9712384411,94,2016-09-03
9,72,27,72,THB,$413067.34,JPY,£16664.31,2,2445085225,71,2017-01-10
82,73,85,66,BGN,¥186636.97,CNY,£19678.25,1,9034866033,43,2019-12-13
59,74,7,64,CNY,¥414592.13,RUB,¥26737.29,2,5034903784,100,2018-06-19
4,75,31,71,IDR,$493520.13,PHP,£11884.42,1,0593175913,14,2018-07-16
99,76,95,8,EUR,¥447710.28,HRK,¥22004.68,1,5620724433,60,2018-03-07
23,77,55,4,EUR,"€369503,94",PEN,$12619.55,1,7371072472,72,2018-03-09
76,79,58,20,EUR,"€371740,49",MXN,¥17480.77,1,9846392095,72,2019-08-16
16,80,61,80,UAH,$483431.10,USD,"€10696,00",2,0156499010,20,2019-05-27
47,82,43,61,PYG,¥71037.98,IDR,"€25451,08",2,0973891211,89,2019-07-30
76,83,2,52,CNY,£9395.02,PHP,$18393.48,2,2834850046,84,2020-01-29
11,84,30,47,IDR,$136144.12,CNY,¥19568.14,1,0942522443,34,2020-04-25
97,85,47,41,CNY,¥127456.27,SEK,"€28407,85",2,1415983259,90,2017-09-19
97,86,34,26,IDR,¥105850.50,PHP,¥20974.07,1,7679398615,41,2019-01-30
74,87,87,57,CNY,"€219606,81",IDR,£29771.33,1,7666695950,38,2017-04-13
27,88,32,69,BDT,"€409914,75",EUR,¥13514.69,1,1348010592,33,2017-06-13
77,89,7,18,SEK,¥324641.78,IDR,£25465.69,1,0960684700,63,2016-11-24
27,90,84,70,IDR,¥195284.96,IDR,¥15252.35,1,3202389033,59,2017-01-27
97,91,25,99,CNY,¥449515.92,USD,£24923.79,2,5527122801,76,2018-07-04
31,92,67,18,EUR,"€12716,40",BRL,"€12182,66",1,4347209568,26,2017-08-08
5,93,85,96,RUB,¥116213.64,MUR,£20416.15,1,8145756774,3,2016-10-15
3,94,14,11,PLN,"€123744,48",IDR,$12073.19,1,2536996522,61,2020-04-26
84,95,90,3,EUR,$241767.47,NGN,$21222.63,2,1652187596,61,2016-07-13
46,96,9,21,CNY,"€386748,93",EUR,$16835.93,1,0735111154,62,2018-05-25
45,97,92,56,BRL,£208555.17,RUB,"€22898,54",2,7690253504,68,2020-07-21
28,98,42,50,CNY,$212186.82,CNY,£13753.55,1,2307933808,56,2019-08-31
46,100,91,1,IDR,$352344.73,CNY,$19426.19,1,7969466621,63,2019-01-08
92,4,87,89,MDL,£99706.51,RUB,$26934.95,2,9285951422,12,2018-01-09
68,5,9,36,EUR,"€302616,21",COP,¥29250.89,2,0689185294,36,2017-12-14
22,6,68,11,CFA,$128506.35,CFA,$28928.81,2,6628305481,51,2020-02-18
27,7,64,80,PHP,"€140296,05",SEK,¥23451.80,1,6704385363,43,2019-11-04
6,8,27,61,SEK,£292680.74,EUR,$18975.36,2,7800442632,65,2017-01-17
82,10,99,43,EUR,£297200.70,ZAR,¥18236.77,2,9514976002,93,2017-03-19
57,11,81,47,CFA,$395062.78,EUR,$16102.67,2,0187043825,93,2020-05-19
97,12,41,60,SAR,"€243576,56",ARS,"€26098,96",2,2990163727,71,2018-07-10
96,13,65,42,IDR,£340254.49,CFA,¥27231.26,1,1964133181,64,2019-03-25
61,14,12,86,CNY,$422056.96,CNY,$11083.82,1,3796100309,33,2017-07-26
52,15,53,93,CFA,¥381429.79,CNY,£23179.71,1,1093793953,14,2020-02-12
7,16,37,45,CLP,$231884.01,PAB,¥11222.95,2,2227909234,28,2020-04-20
38,17,91,94,CFA,¥153569.38,PLN,$19749.98,2,7097377720,3,2019-07-05
99,18,86,73,CNY,£294250.76,AZN,$21852.28,2,4666894497,91,2019-02-24
45,19,50,69,PHP,"€495357,83",PHP,£11646.74,1,4663925235,95,2019-01-06
13,21,41,36,CFA,¥420436.52,CFA,$14627.63,2,4722568723,60,2017-05-24
42,22,90,89,JPY,"€39974,91",BRL,$15271.13,1,8972510041,62,2018-04-26
78,23,77,31,CZK,$471312.54,NGN,¥29954.64,2,9784793806,28,2019-12-04
96,24,24,48,CNY,"€84178,56",CFA,£29008.54,1,4077477573,86,2017-06-12
24,26,98,27,ARS,¥431882.46,IDR,"€16397,04",1,2425753141,5,2017-09-11
39,27,41,54,UGX,"€284829,26",CZK,"€26891,52",2,2590903936,86,2016-09-11
23,28,80,82,ARS,$361720.93,RUB,$19987.37,1,9154476208,78,2017-02-02
12,29,67,92,CFA,"€78566,87",BRL,$16297.73,1,8235595362,30,2017-08-16
7,30,65,37,KZT,¥74663.44,CNY,£22359.49,2,9071799654,99,2017-03-31
25,31,62,40,NGN,£116262.81,PAB,£14799.81,2,9461587767,87,2019-01-11
9,32,47,50,MYR,"€210901,90",RUB,£28534.09,2,9456436276,49,2019-01-31
41,33,72,86,CNY,"€84068,65",EUR,£19186.30,1,9896118361,62,2019-08-04
77,34,36,49,CNY,¥165456.42,IDR,¥25223.96,1,9708551627,85,2019-02-21
51,35,53,64,CAD,"€356475,64",VEF,¥11515.67,1,2586366131,63,2020-01-28
10,36,17,29,CFA,¥455002.15,RUB,$22202.58,2,9412454074,13,2016-09-01
67,38,53,73,IDR,$151552.12,UAH,¥16266.16,1,8036049767,2,2020-06-06
8,39,84,75,USD,$66437.10,RUB,$16647.20,2,2565894465,64,2019-02-16
50,40,87,98,CNY,"€493224,43",IDR,¥12378.25,1,5115084821,60,2019-06-11
43,42,6,46,CFA,$365615.71,PHP,£26498.97,1,5068425397,30,2018-05-03
52,44,36,31,USD,$258398.86,CFA,$18403.66,1,1894631315,21,2018-11-22
85,46,4,7,THB,¥193494.50,CNY,£24074.87,2,3159262294,100,2016-09-03
64,47,79,37,CUP,¥351490.43,CNY,£21903.77,2,8993819645,43,2019-06-02
82,48,21,80,PLN,£432206.45,JPY,$20393.60,2,2782817477,44,2019-02-11
66,53,85,13,CNY,£343814.88,BRL,¥23308.41,2,5436697410,78,2019-05-08
95,55,64,9,CFA,¥399985.74,IRR,"€18288,28",2,9757421863,37,2016-10-17
98,56,66,51,IDR,$23584.20,CFA,$28846.01,1,7867757570,92,2017-03-17
48,57,84,12,CNY,"€365285,93",PHP,$16463.47,2,4725457086,59,2017-01-11
88,58,20,12,PLN,¥15430.64,CNY,$15547.86,2,4467529705,87,2017-10-21
91,60,100,75,RUB,$490464.66,EUR,$21190.93,1,8948918044,98,2020-02-03
85,62,98,71,CNY,$466778.66,PLN,£24269.79,2,1909209643,10,2017-02-12
79,63,27,49,PLN,¥83093.28,CNY,"€17598,95",2,6104405304,14,2020-01-08
23,64,12,48,TJS,£346089.52,IDR,$14504.64,1,6752173788,22,2019-12-21
71,66,63,97,CNY,$369891.02,EUR,£14754.12,1,9771063189,90,2018-06-27
40,67,67,52,IDR,¥453273.32,CNY,"€24033,36",1,0601705742,19,2018-05-03
21,68,66,94,CFA,¥62841.25,RUB,"€13558,33",1,4643290730,43,2018-04-06
68,69,55,48,IRR,£345055.31,CNY,"€22132,07",2,0403774063,81,2017-06-01
79,71,40,49,SEK,$484234.56,NGN,"€11071,10",2,9712384411,94,2016-09-03
9,72,27,72,THB,$413067.34,JPY,£16664.31,2,2445085225,71,2017-01-10
82,73,85,66,BGN,¥186636.97,CNY,£19678.25,1,9034866033,43,2019-12-13
59,74,7,64,CNY,¥414592.13,RUB,¥26737.29,2,5034903784,100,2018-06-19
4,75,31,71,IDR,$493520.13,PHP,£11884.42,1,0593175913,14,2018-07-16
99,76,95,8,EUR,¥447710.28,HRK,¥22004.68,1,5620724433,60,2018-03-07
23,77,55,4,EUR,"€369503,94",PEN,$12619.55,1,7371072472,72,2018-03-09
76,79,58,20,EUR,"€371740,49",MXN,¥17480.77,1,9846392095,72,2019-08-16
16,80,61,80,UAH,$483431.10,USD,"€10696,00",2,0156499010,20,2019-05-27
47,82,43,61,PYG,¥71037.98,CFA,"€25451,08",2,0973891211,89,2019-07-30
76,83,2,52,CNY,£9395.02,PHP,$18393.48,2,2834850046,84,2020-01-29
11,84,30,47,IDR,$136144.12,CNY,¥19568.14,1,0942522443,34,2020-04-25
97,85,47,41,CNY,¥127456.27,SEK,"€28407,85",2,1415983259,90,2017-09-19
97,86,34,26,IDR,¥105850.50,PHP,¥20974.07,1,7679398615,41,2019-01-30
74,87,87,57,CNY,"€219606,81",IDR,£29771.33,1,7666695950,38,2017-04-13
27,88,32,69,BDT,"€409914,75",EUR,¥13514.69,1,1348010592,33,2017-06-13
77,89,7,18,SEK,¥324641.78,IDR,£25465.69,1,0960684700,63,2016-11-24
27,90,84,70,IDR,¥195284.96,IDR,¥15252.35,1,3202389033,59,2017-01-27
97,91,25,99,CNY,¥449515.92,USD,£24923.79,2,5527122801,76,2018-07-04
31,92,67,18,CFA,"€12716,40",BRL,"€12182,66",1,4347209568,26,2017-08-08
5,93,85,96,RUB,¥116213.64,MUR,£20416.15,1,8145756774,3,2016-10-15
3,94,14,11,PLN,"€123744,48",IDR,$12073.19,1,2536996522,61,2020-04-26
84,95,90,3,EUR,$241767.47,NGN,$21222.63,2,1652187596,61,2016-07-13
46,96,9,21,CNY,"€386748,93",CFA,$16835.93,1,0735111154,62,2018-05-25
45,97,92,56,BRL,£208555.17,RUB,"€22898,54",2,7690253504,68,2020-07-21
28,98,42,50,CNY,$212186.82,CNY,£13753.55,1,2307933808,56,2019-08-31
46,100,91,1,CFA,$352344.73,CFA,$19426.19,1,7969466621,63,2019-01-08
